                                    25 Oct 2020 16:37:20
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
29 Nov 2020 04:17:16.042        0.000           0.000000
29 Nov 2020 04:18:16.042        0.000           0.000000
29 Nov 2020 04:19:16.042        0.000           0.000000
29 Nov 2020 04:20:16.042        0.000           0.000000
29 Nov 2020 04:21:16.042        0.000           0.000000
29 Nov 2020 04:22:16.042        0.000           0.000000
29 Nov 2020 04:23:16.042        0.000           0.000000
29 Nov 2020 04:24:16.042        0.000           0.000000
29 Nov 2020 04:25:16.042        0.000           0.000000
29 Nov 2020 04:26:16.042        0.000           0.000000
29 Nov 2020 04:27:16.042        0.000           0.000000
29 Nov 2020 04:28:16.042        0.000           0.000000
29 Nov 2020 04:29:16.042        0.000           0.000000
29 Nov 2020 04:30:16.042        0.000           0.000000
29 Nov 2020 04:31:16.042        0.000           0.000000
29 Nov 2020 04:32:16.042        0.000           0.000000
29 Nov 2020 04:33:16.042        0.000           0.000000
29 Nov 2020 04:34:16.042        0.000           0.000000
29 Nov 2020 04:35:16.042        0.000           0.000000
29 Nov 2020 04:36:16.042        0.000           0.000000
29 Nov 2020 04:37:16.042        0.000           0.000000
29 Nov 2020 04:38:16.042        1.950           1.000000
29 Nov 2020 04:39:16.042        1.571           1.000000
29 Nov 2020 04:40:16.042        1.183           1.000000
29 Nov 2020 04:41:16.042        0.790           1.000000
29 Nov 2020 04:42:16.042        0.390           1.000000
29 Nov 2020 04:43:16.042        0.000           1.000000
29 Nov 2020 04:44:16.042        0.448           1.000000
29 Nov 2020 04:45:16.042        0.907           1.000000
29 Nov 2020 04:46:16.042        1.371           1.000000
29 Nov 2020 04:47:16.042        1.819           1.000000
29 Nov 2020 04:48:16.042        2.261           1.000000
29 Nov 2020 04:49:16.042        2.696           1.000000
29 Nov 2020 04:50:16.042        3.114           1.000000
29 Nov 2020 04:51:16.042        3.522           1.000000
29 Nov 2020 04:52:16.042        3.911           1.000000
29 Nov 2020 04:53:16.042        4.283           1.000000
29 Nov 2020 04:54:16.042        4.635           1.000000
29 Nov 2020 04:55:16.042        4.965           1.000000
29 Nov 2020 04:56:16.042        5.280           1.000000
29 Nov 2020 04:57:16.042        5.564           1.000000
29 Nov 2020 04:58:16.042        5.824           1.000000
29 Nov 2020 04:59:16.042        6.057           1.000000
29 Nov 2020 05:00:16.042        6.265           1.000000
29 Nov 2020 05:01:16.042        6.438           1.000000
29 Nov 2020 05:02:16.042        6.586           1.000000
29 Nov 2020 05:03:16.042        6.704           1.000000
29 Nov 2020 05:04:16.042        6.790           1.000000
29 Nov 2020 05:05:16.042        6.846           1.000000
29 Nov 2020 05:06:16.042        6.868           1.000000
29 Nov 2020 05:07:16.042        7.192           1.000000
29 Nov 2020 05:08:16.042        7.618           1.000000
29 Nov 2020 05:09:16.042        8.002           1.000000
29 Nov 2020 05:10:16.042        8.357           1.000000
29 Nov 2020 05:11:16.042        8.670           1.000000
29 Nov 2020 05:12:16.042        8.943           1.000000
29 Nov 2020 05:13:16.042        9.180           1.000000
29 Nov 2020 05:14:16.042        9.368           1.000000
29 Nov 2020 05:15:16.042        9.520           1.000000
29 Nov 2020 05:16:16.042        9.587           1.000000
29 Nov 2020 05:17:16.042        9.670           1.000000
29 Nov 2020 05:18:16.042        9.702           1.000000
29 Nov 2020 05:19:16.042        9.666           1.000000
29 Nov 2020 05:20:16.042        9.595           1.000000
29 Nov 2020 05:21:16.042        9.480           1.000000
29 Nov 2020 05:22:16.042        9.323           1.000000
29 Nov 2020 05:23:16.042        9.115           1.000000
29 Nov 2020 05:24:16.042        8.864           1.000000
29 Nov 2020 05:25:16.042        8.585           1.000000
29 Nov 2020 05:26:16.042        8.259           1.000000
29 Nov 2020 05:27:16.042        7.896           1.000000
29 Nov 2020 05:28:16.042        7.500           1.000000
29 Nov 2020 05:29:16.042        7.067           1.000000
29 Nov 2020 05:30:16.042        7.064           1.000000
29 Nov 2020 05:31:16.042        7.434           1.000000
29 Nov 2020 05:32:16.042        7.766           1.000000
29 Nov 2020 05:33:16.042        8.061           1.000000
29 Nov 2020 05:34:16.042        8.318           1.000000
29 Nov 2020 05:35:16.042        0.000           0.000000
29 Nov 2020 05:36:16.042        0.000           0.000000
29 Nov 2020 05:37:16.042        0.000           0.000000
29 Nov 2020 05:38:16.042        0.000           0.000000
29 Nov 2020 05:39:16.042        0.000           0.000000
29 Nov 2020 05:40:16.042        0.000           0.000000
29 Nov 2020 05:41:16.042        0.000           0.000000
29 Nov 2020 05:42:16.042        0.000           0.000000
29 Nov 2020 05:43:16.042        0.000           0.000000
29 Nov 2020 05:44:16.042        0.000           0.000000
29 Nov 2020 05:45:16.042        0.000           0.000000
29 Nov 2020 05:46:16.042        0.000           0.000000
29 Nov 2020 05:47:16.042        0.000           0.000000
29 Nov 2020 05:48:16.042        0.000           0.000000
29 Nov 2020 05:49:16.042        0.000           0.000000
29 Nov 2020 05:50:16.042        0.000           0.000000
29 Nov 2020 05:51:16.042        0.000           0.000000
29 Nov 2020 05:52:16.042        0.000           0.000000
29 Nov 2020 05:53:16.042        0.000           0.000000
29 Nov 2020 05:54:16.042        0.000           0.000000
29 Nov 2020 05:55:16.042        0.000           0.000000
29 Nov 2020 05:56:16.042        0.000           0.000000
29 Nov 2020 05:57:16.042        0.000           0.000000
29 Nov 2020 05:58:16.042        0.000           0.000000
29 Nov 2020 05:59:16.042        0.000           0.000000
29 Nov 2020 06:00:16.042        0.000           0.000000
29 Nov 2020 06:01:16.042        0.000           0.000000
29 Nov 2020 06:02:16.042        0.000           0.000000
29 Nov 2020 06:03:16.042        0.000           0.000000
29 Nov 2020 06:04:16.042        0.000           0.000000
29 Nov 2020 06:05:16.042        0.000           0.000000
29 Nov 2020 06:06:16.042        0.000           0.000000
29 Nov 2020 06:07:16.042        0.000           0.000000
29 Nov 2020 06:08:16.042        0.000           0.000000
29 Nov 2020 06:09:16.042        0.000           0.000000
29 Nov 2020 06:10:16.042        0.000           0.000000
29 Nov 2020 06:11:16.042        1.923           1.000000
29 Nov 2020 06:12:16.042        1.542           1.000000
29 Nov 2020 06:13:16.042        1.152           1.000000
29 Nov 2020 06:14:16.042        0.762           1.000000
29 Nov 2020 06:15:16.042        0.363           1.000000
29 Nov 2020 06:16:16.042        0.020           1.000000
29 Nov 2020 06:17:16.042        0.479           1.000000
29 Nov 2020 06:18:16.042        0.938           1.000000
29 Nov 2020 06:19:16.042        1.394           1.000000
29 Nov 2020 06:20:16.042        1.848           1.000000
29 Nov 2020 06:21:16.042        2.289           1.000000
29 Nov 2020 06:22:16.042        2.717           1.000000
29 Nov 2020 06:23:16.042        3.139           1.000000
29 Nov 2020 06:24:16.042        3.547           1.000000
29 Nov 2020 06:25:16.042        3.930           1.000000
29 Nov 2020 06:26:16.042        4.307           1.000000
29 Nov 2020 06:27:16.042        4.654           1.000000
29 Nov 2020 06:28:16.042        4.985           1.000000
29 Nov 2020 06:29:16.042        5.293           1.000000
29 Nov 2020 06:30:16.042        5.579           1.000000
29 Nov 2020 06:31:16.042        5.835           1.000000
29 Nov 2020 06:32:16.042        6.067           1.000000
29 Nov 2020 06:33:16.042        6.271           1.000000
29 Nov 2020 06:34:16.042        6.449           1.000000
29 Nov 2020 06:35:16.042        6.591           1.000000
29 Nov 2020 06:36:16.042        6.705           1.000000
29 Nov 2020 06:37:16.042        6.791           1.000000
29 Nov 2020 06:38:16.042        6.844           1.000000
29 Nov 2020 06:39:16.042        6.868           1.000000
29 Nov 2020 06:40:16.042        7.217           1.000000
29 Nov 2020 06:41:16.042        7.636           1.000000
29 Nov 2020 06:42:16.042        8.024           1.000000
29 Nov 2020 06:43:16.042        8.377           1.000000
29 Nov 2020 06:44:16.042        8.682           1.000000
29 Nov 2020 06:45:16.042        8.957           1.000000
29 Nov 2020 06:46:16.042        9.182           1.000000
29 Nov 2020 06:47:16.042        9.372           1.000000
29 Nov 2020 06:48:16.042        9.519           1.000000
29 Nov 2020 06:49:16.042        9.632           1.000000
29 Nov 2020 06:50:16.042        9.668           1.000000
29 Nov 2020 06:51:16.042        9.687           1.000000
29 Nov 2020 06:52:16.042        9.660           1.000000
29 Nov 2020 06:53:16.042        9.586           1.000000
29 Nov 2020 06:54:16.042        9.462           1.000000
29 Nov 2020 06:55:16.042        9.293           1.000000
29 Nov 2020 06:56:16.042        9.096           1.000000
29 Nov 2020 06:57:16.042        8.851           1.000000
29 Nov 2020 06:58:16.042        8.556           1.000000
29 Nov 2020 06:59:16.042        8.233           1.000000
29 Nov 2020 07:00:16.042        7.866           1.000000
29 Nov 2020 07:01:16.042        7.463           1.000000
29 Nov 2020 07:02:16.042        7.029           1.000000
29 Nov 2020 07:03:16.042        7.090           1.000000
29 Nov 2020 07:04:16.042        7.449           1.000000
29 Nov 2020 07:05:16.042        7.783           1.000000
29 Nov 2020 07:06:16.042        8.073           1.000000
29 Nov 2020 07:07:16.042        8.336           1.000000
29 Nov 2020 07:08:16.042        0.000           0.000000
29 Nov 2020 07:09:16.042        0.000           0.000000
29 Nov 2020 07:10:16.042        0.000           0.000000
29 Nov 2020 07:11:16.042        0.000           0.000000
29 Nov 2020 07:12:16.042        0.000           0.000000
29 Nov 2020 07:13:16.042        0.000           0.000000
29 Nov 2020 07:14:16.042        0.000           0.000000
29 Nov 2020 07:15:16.042        0.000           0.000000
29 Nov 2020 07:16:16.042        0.000           0.000000
29 Nov 2020 07:17:16.042        0.000           0.000000
29 Nov 2020 07:18:16.042        0.000           0.000000
29 Nov 2020 07:19:16.042        0.000           0.000000
29 Nov 2020 07:20:16.042        0.000           0.000000
29 Nov 2020 07:21:16.042        0.000           0.000000
29 Nov 2020 07:22:16.042        0.000           0.000000
29 Nov 2020 07:23:16.042        0.000           0.000000
29 Nov 2020 07:24:16.042        0.000           0.000000
29 Nov 2020 07:25:16.042        0.000           0.000000
29 Nov 2020 07:26:16.042        0.000           0.000000
29 Nov 2020 07:27:16.042        0.000           0.000000
29 Nov 2020 07:28:16.042        0.000           0.000000
29 Nov 2020 07:29:16.042        0.000           0.000000
29 Nov 2020 07:30:16.042        0.000           0.000000
29 Nov 2020 07:31:16.042        0.000           0.000000
29 Nov 2020 07:32:16.042        0.000           0.000000
29 Nov 2020 07:33:16.042        0.000           0.000000
29 Nov 2020 07:34:16.042        0.000           0.000000
29 Nov 2020 07:35:16.042        0.000           0.000000
29 Nov 2020 07:36:16.042        0.000           0.000000
29 Nov 2020 07:37:16.042        0.000           0.000000
29 Nov 2020 07:38:16.042        0.000           0.000000
29 Nov 2020 07:39:16.042        0.000           0.000000
29 Nov 2020 07:40:16.042        0.000           0.000000
29 Nov 2020 07:41:16.042        0.000           0.000000
29 Nov 2020 07:42:16.042        0.000           0.000000
29 Nov 2020 07:43:16.042        0.000           0.000000
29 Nov 2020 07:44:16.042        1.894           1.000000
29 Nov 2020 07:45:16.042        1.517           1.000000
29 Nov 2020 07:46:16.042        1.126           1.000000
29 Nov 2020 07:47:16.042        0.732           1.000000
29 Nov 2020 07:48:16.042        0.333           1.000000
29 Nov 2020 07:49:16.042        0.052           1.000000
29 Nov 2020 07:50:16.042        0.512           1.000000
29 Nov 2020 07:51:16.042        0.967           1.000000
29 Nov 2020 07:52:16.042        1.427           1.000000
29 Nov 2020 07:53:16.042        1.880           1.000000
29 Nov 2020 07:54:16.042        2.314           1.000000
29 Nov 2020 07:55:16.042        2.751           1.000000
29 Nov 2020 07:56:16.042        3.168           1.000000
29 Nov 2020 07:57:16.042        3.564           1.000000
29 Nov 2020 07:58:16.042        3.948           1.000000
29 Nov 2020 07:59:16.042        4.327           1.000000
29 Nov 2020 08:00:16.042        4.679           1.000000
29 Nov 2020 08:01:16.042        5.007           1.000000
29 Nov 2020 08:02:16.042        5.310           1.000000
29 Nov 2020 08:03:16.042        5.593           1.000000
29 Nov 2020 08:04:16.042        5.845           1.000000
29 Nov 2020 08:05:16.042        6.076           1.000000
29 Nov 2020 08:06:16.042        6.285           1.000000
29 Nov 2020 08:07:16.042        6.454           1.000000
29 Nov 2020 08:08:16.042        6.595           1.000000
29 Nov 2020 08:09:16.042        6.710           1.000000
29 Nov 2020 08:10:16.042        6.793           1.000000
29 Nov 2020 08:11:16.042        6.840           1.000000
