                                    25 Oct 2020 16:38:30
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
30 Nov 2020 03:29:25.414        0.000           0.000000
30 Nov 2020 03:30:25.414        0.000           0.000000
30 Nov 2020 03:31:25.414        0.000           0.000000
30 Nov 2020 03:32:25.414        0.000           0.000000
30 Nov 2020 03:33:25.414        0.000           0.000000
30 Nov 2020 03:34:25.414        0.000           0.000000
30 Nov 2020 03:35:25.414        0.000           0.000000
30 Nov 2020 03:36:25.414        0.000           0.000000
30 Nov 2020 03:37:25.414        0.000           0.000000
30 Nov 2020 03:38:25.414        0.000           0.000000
30 Nov 2020 03:39:25.414        0.000           0.000000
30 Nov 2020 03:40:25.414        0.000           0.000000
30 Nov 2020 03:41:25.414        0.000           0.000000
30 Nov 2020 03:42:25.414        0.000           0.000000
30 Nov 2020 03:43:25.414        0.000           0.000000
30 Nov 2020 03:44:25.414        0.000           0.000000
30 Nov 2020 03:45:25.414        0.000           0.000000
30 Nov 2020 03:46:25.414        0.000           0.000000
30 Nov 2020 03:47:25.414        0.000           0.000000
30 Nov 2020 03:48:25.414        0.000           0.000000
30 Nov 2020 03:49:25.414        0.000           0.000000
30 Nov 2020 03:50:25.414        0.000           0.000000
30 Nov 2020 03:51:25.414        0.000           0.000000
30 Nov 2020 03:52:25.414        1.842           1.000000
30 Nov 2020 03:53:25.414        1.464           1.000000
30 Nov 2020 03:54:25.414        1.085           1.000000
30 Nov 2020 03:55:25.414        0.694           1.000000
30 Nov 2020 03:56:25.414        0.301           1.000000
30 Nov 2020 03:57:25.414        0.080           1.000000
30 Nov 2020 03:58:25.414        0.535           1.000000
30 Nov 2020 03:59:25.414        0.988           1.000000
30 Nov 2020 04:00:25.414        1.437           1.000000
30 Nov 2020 04:01:25.414        1.878           1.000000
30 Nov 2020 04:02:25.414        2.315           1.000000
30 Nov 2020 04:03:25.414        2.743           1.000000
30 Nov 2020 04:04:25.414        3.153           1.000000
30 Nov 2020 04:05:25.414        3.546           1.000000
30 Nov 2020 04:06:25.414        3.930           1.000000
30 Nov 2020 04:07:25.414        4.296           1.000000
30 Nov 2020 04:08:25.414        4.639           1.000000
30 Nov 2020 04:09:25.414        4.961           1.000000
30 Nov 2020 04:10:25.414        5.258           1.000000
30 Nov 2020 04:11:25.414        5.538           1.000000
30 Nov 2020 04:12:25.414        5.788           1.000000
30 Nov 2020 04:13:25.414        6.012           1.000000
30 Nov 2020 04:14:25.414        6.204           1.000000
30 Nov 2020 04:15:25.414        6.375           1.000000
30 Nov 2020 04:16:25.414        6.516           1.000000
30 Nov 2020 04:17:25.414        6.625           1.000000
30 Nov 2020 04:18:25.414        6.706           1.000000
30 Nov 2020 04:19:25.414        6.751           1.000000
30 Nov 2020 04:20:25.414        6.770           1.000000
30 Nov 2020 04:21:25.414        7.172           1.000000
30 Nov 2020 04:22:25.414        7.582           1.000000
30 Nov 2020 04:23:25.414        7.967           1.000000
30 Nov 2020 04:24:25.414        8.299           1.000000
30 Nov 2020 04:25:25.414        8.597           1.000000
30 Nov 2020 04:26:25.414        8.858           1.000000
