                                    2 Nov 2020 17:34:07
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

      Time (UTCG)          Power (W)    Solar Intensity
-----------------------    ---------    ---------------
2 Dec 2020 18:28:37.448        8.828           1.000000
2 Dec 2020 18:29:37.448        8.761           1.000000
2 Dec 2020 18:30:37.448        8.659           1.000000
2 Dec 2020 18:31:37.448        8.539           1.000000
2 Dec 2020 18:32:37.448        8.362           1.000000
2 Dec 2020 18:33:37.448        8.150           1.000000
2 Dec 2020 18:34:37.448        7.890           1.000000
2 Dec 2020 18:35:37.448        7.613           1.000000
2 Dec 2020 18:36:37.448        7.286           1.000000
2 Dec 2020 18:37:37.448        6.928           1.000000
2 Dec 2020 18:38:37.448        6.545           1.000000
2 Dec 2020 18:39:37.448        6.351           1.000000
2 Dec 2020 18:40:37.448        6.682           1.000000
2 Dec 2020 18:41:37.448        6.994           1.000000
2 Dec 2020 18:42:37.448        7.290           1.000000
2 Dec 2020 18:43:37.448        7.540           1.000000
2 Dec 2020 18:44:37.448        7.742           1.000000
2 Dec 2020 18:45:37.448        0.000           0.000000
2 Dec 2020 18:46:37.448        0.000           0.000000
2 Dec 2020 18:47:37.448        0.000           0.000000
2 Dec 2020 18:48:37.448        0.000           0.000000
2 Dec 2020 18:49:37.448        0.000           0.000000
2 Dec 2020 18:50:37.448        0.000           0.000000
2 Dec 2020 18:51:37.448        0.000           0.000000
2 Dec 2020 18:52:37.448        0.000           0.000000
2 Dec 2020 18:53:37.448        0.000           0.000000
2 Dec 2020 18:54:37.448        0.000           0.000000
2 Dec 2020 18:55:37.448        0.000           0.000000
2 Dec 2020 18:56:37.448        0.000           0.000000
2 Dec 2020 18:57:37.448        0.000           0.000000
2 Dec 2020 18:58:37.448        0.000           0.000000
2 Dec 2020 18:59:37.448        0.000           0.000000
2 Dec 2020 19:00:37.448        0.000           0.000000
2 Dec 2020 19:01:37.448        0.000           0.000000
2 Dec 2020 19:02:37.448        0.000           0.000000
2 Dec 2020 19:03:37.448        0.000           0.000000
2 Dec 2020 19:04:37.448        0.000           0.000000
2 Dec 2020 19:05:37.448        0.000           0.000000
2 Dec 2020 19:06:37.448        0.000           0.000000
2 Dec 2020 19:07:37.448        0.000           0.000000
2 Dec 2020 19:08:37.448        0.000           0.000000
2 Dec 2020 19:09:37.448        0.000           0.000000
2 Dec 2020 19:10:37.448        0.000           0.000000
2 Dec 2020 19:11:37.448        0.000           0.000000
2 Dec 2020 19:12:37.448        0.000           0.000000
2 Dec 2020 19:13:37.448        0.000           0.000000
2 Dec 2020 19:14:37.448        0.000           0.000000
2 Dec 2020 19:15:37.448        0.000           0.000000
2 Dec 2020 19:16:37.448        0.000           0.000000
2 Dec 2020 19:17:37.448        0.000           0.000000
2 Dec 2020 19:18:37.448        0.000           0.000000
2 Dec 2020 19:19:37.448        0.000           0.000000
2 Dec 2020 19:20:37.448        1.855           1.000000
2 Dec 2020 19:21:37.448        1.506           1.000000
2 Dec 2020 19:22:37.448        1.145           1.000000
2 Dec 2020 19:23:37.448        0.797           1.000000
2 Dec 2020 19:24:37.448        0.430           1.000000
2 Dec 2020 19:25:37.448        0.070           1.000000
2 Dec 2020 19:26:37.448        0.292           1.000000
2 Dec 2020 19:27:37.448        0.708           1.000000
2 Dec 2020 19:28:37.448        1.119           1.000000
2 Dec 2020 19:29:37.448        1.534           1.000000
2 Dec 2020 19:30:37.448        1.952           1.000000
2 Dec 2020 19:31:37.448        2.348           1.000000
2 Dec 2020 19:32:37.448        2.722           1.000000
2 Dec 2020 19:33:37.448        3.116           1.000000
2 Dec 2020 19:34:37.448        3.417           1.000000
2 Dec 2020 19:35:37.448        3.814           1.000000
2 Dec 2020 19:36:37.448        4.141           1.000000
2 Dec 2020 19:37:37.448        4.440           1.000000
2 Dec 2020 19:38:37.448        4.727           1.000000
2 Dec 2020 19:39:37.448        5.001           1.000000
2 Dec 2020 19:40:37.448        5.235           1.000000
2 Dec 2020 19:41:37.448        5.463           1.000000
2 Dec 2020 19:42:37.448        5.649           1.000000
2 Dec 2020 19:43:37.448        5.820           1.000000
2 Dec 2020 19:44:37.448        5.969           1.000000
2 Dec 2020 19:45:37.448        6.086           1.000000
2 Dec 2020 19:46:37.448        6.164           1.000000
2 Dec 2020 19:47:37.448        6.235           1.000000
2 Dec 2020 19:48:37.448        6.255           1.000000
2 Dec 2020 19:49:37.448        6.454           1.000000
2 Dec 2020 19:50:37.448        6.841           1.000000
2 Dec 2020 19:51:37.448        7.207           1.000000
2 Dec 2020 19:52:37.448        7.517           1.000000
2 Dec 2020 19:53:37.448        7.820           1.000000
2 Dec 2020 19:54:37.448        8.092           1.000000
2 Dec 2020 19:55:37.448        8.343           1.000000
2 Dec 2020 19:56:37.448        8.462           1.000000
2 Dec 2020 19:57:37.448        8.700           1.000000
2 Dec 2020 19:58:37.448        8.714           1.000000
2 Dec 2020 19:59:37.448        8.762           1.000000
2 Dec 2020 20:00:37.448        8.808           1.000000
2 Dec 2020 20:01:37.448        8.799           1.000000
2 Dec 2020 20:02:37.448        8.729           1.000000
2 Dec 2020 20:03:37.448        8.630           1.000000
2 Dec 2020 20:04:37.448        8.500           1.000000
2 Dec 2020 20:05:37.448        8.323           1.000000
2 Dec 2020 20:06:37.448        8.113           1.000000
2 Dec 2020 20:07:37.448        7.844           1.000000
2 Dec 2020 20:08:37.448        7.573           1.000000
2 Dec 2020 20:09:37.448        7.242           1.000000
2 Dec 2020 20:10:37.448        6.887           1.000000
2 Dec 2020 20:11:37.448        6.508           1.000000
2 Dec 2020 20:12:37.448        6.358           1.000000
2 Dec 2020 20:13:37.448        6.683           1.000000
2 Dec 2020 20:14:37.448        7.001           1.000000
2 Dec 2020 20:15:37.448        7.282           1.000000
2 Dec 2020 20:16:37.448        7.527           1.000000
2 Dec 2020 20:17:37.448        7.730           1.000000
2 Dec 2020 20:18:37.448        0.000           0.000000
2 Dec 2020 20:19:37.448        0.000           0.000000
2 Dec 2020 20:20:37.448        0.000           0.000000
2 Dec 2020 20:21:37.448        0.000           0.000000
2 Dec 2020 20:22:37.448        0.000           0.000000
2 Dec 2020 20:23:37.448        0.000           0.000000
2 Dec 2020 20:24:37.448        0.000           0.000000
2 Dec 2020 20:25:37.448        0.000           0.000000
2 Dec 2020 20:26:37.448        0.000           0.000000
2 Dec 2020 20:27:37.448        0.000           0.000000
2 Dec 2020 20:28:37.448        0.000           0.000000
2 Dec 2020 20:29:37.448        0.000           0.000000
2 Dec 2020 20:30:37.448        0.000           0.000000
2 Dec 2020 20:31:37.448        0.000           0.000000
2 Dec 2020 20:32:37.448        0.000           0.000000
2 Dec 2020 20:33:37.448        0.000           0.000000
2 Dec 2020 20:34:37.448        0.000           0.000000
2 Dec 2020 20:35:37.448        0.000           0.000000
2 Dec 2020 20:36:37.448        0.000           0.000000
2 Dec 2020 20:37:37.448        0.000           0.000000
2 Dec 2020 20:38:37.448        0.000           0.000000
2 Dec 2020 20:39:37.448        0.000           0.000000
2 Dec 2020 20:40:37.448        0.000           0.000000
2 Dec 2020 20:41:37.448        0.000           0.000000
2 Dec 2020 20:42:37.448        0.000           0.000000
2 Dec 2020 20:43:37.448        0.000           0.000000
2 Dec 2020 20:44:37.448        0.000           0.000000
2 Dec 2020 20:45:37.448        0.000           0.000000
2 Dec 2020 20:46:37.448        0.000           0.000000
2 Dec 2020 20:47:37.448        0.000           0.000000
2 Dec 2020 20:48:37.448        0.000           0.000000
2 Dec 2020 20:49:37.448        0.000           0.000000
2 Dec 2020 20:50:37.448        0.000           0.000000
2 Dec 2020 20:51:37.448        0.000           0.000000
2 Dec 2020 20:52:37.448        0.000           0.000000
2 Dec 2020 20:53:37.448        1.816           1.000000
2 Dec 2020 20:54:37.448        1.467           1.000000
2 Dec 2020 20:55:37.448        1.114           1.000000
2 Dec 2020 20:56:37.448        0.769           1.000000
2 Dec 2020 20:57:37.448        0.406           1.000000
2 Dec 2020 20:58:37.448        0.044           1.000000
2 Dec 2020 20:59:37.448        0.326           1.000000
2 Dec 2020 21:00:37.448        0.735           1.000000
2 Dec 2020 21:01:37.448        1.156           1.000000
2 Dec 2020 21:02:37.448        1.561           1.000000
2 Dec 2020 21:03:37.448        1.966           1.000000
2 Dec 2020 21:04:37.448        2.369           1.000000
2 Dec 2020 21:05:37.448        2.739           1.000000
2 Dec 2020 21:06:37.448        3.133           1.000000
2 Dec 2020 21:07:37.448        3.425           1.000000
2 Dec 2020 21:08:37.448        3.826           1.000000
2 Dec 2020 21:09:37.448        4.158           1.000000
2 Dec 2020 21:10:37.448        4.439           1.000000
2 Dec 2020 21:11:37.448        4.742           1.000000
2 Dec 2020 21:12:37.448        5.011           1.000000
2 Dec 2020 21:13:37.448        5.245           1.000000
2 Dec 2020 21:14:37.448        5.468           1.000000
