                                     2 Nov 2020 17:33:09
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
30 Nov 2020 03:28:10.451        0.000           0.000000
30 Nov 2020 03:29:10.451        0.000           0.000000
30 Nov 2020 03:30:10.451        0.000           0.000000
30 Nov 2020 03:31:10.451        0.000           0.000000
30 Nov 2020 03:32:10.451        0.000           0.000000
30 Nov 2020 03:33:10.451        0.000           0.000000
30 Nov 2020 03:34:10.451        0.000           0.000000
30 Nov 2020 03:35:10.451        0.000           0.000000
30 Nov 2020 03:36:10.451        0.000           0.000000
30 Nov 2020 03:37:10.451        0.000           0.000000
30 Nov 2020 03:38:10.451        0.000           0.000000
30 Nov 2020 03:39:10.451        0.000           0.000000
30 Nov 2020 03:40:10.451        0.000           0.000000
30 Nov 2020 03:41:10.451        0.000           0.000000
30 Nov 2020 03:42:10.451        0.000           0.000000
30 Nov 2020 03:43:10.451        0.000           0.000000
30 Nov 2020 03:44:10.451        0.000           0.000000
30 Nov 2020 03:45:10.451        0.000           0.000000
30 Nov 2020 03:46:10.451        0.000           0.000000
30 Nov 2020 03:47:10.451        0.000           0.000000
30 Nov 2020 03:48:10.451        0.000           0.000000
30 Nov 2020 03:49:10.451        0.000           0.000000
30 Nov 2020 03:50:10.451        0.000           0.000000
30 Nov 2020 03:51:10.451        1.845           1.000000
30 Nov 2020 03:52:10.451        1.470           1.000000
30 Nov 2020 03:53:10.451        1.092           1.000000
30 Nov 2020 03:54:10.451        0.697           1.000000
30 Nov 2020 03:55:10.451        0.313           1.000000
30 Nov 2020 03:56:10.451        0.056           1.000000
30 Nov 2020 03:57:10.451        0.511           1.000000
30 Nov 2020 03:58:10.451        0.965           1.000000
30 Nov 2020 03:59:10.451        1.398           1.000000
30 Nov 2020 04:00:10.451        1.842           1.000000
30 Nov 2020 04:01:10.451        2.286           1.000000
30 Nov 2020 04:02:10.451        2.706           1.000000
30 Nov 2020 04:03:10.451        3.124           1.000000
30 Nov 2020 04:04:10.451        3.525           1.000000
30 Nov 2020 04:05:10.451        3.890           1.000000
30 Nov 2020 04:06:10.451        4.268           1.000000
30 Nov 2020 04:07:10.451        4.611           1.000000
30 Nov 2020 04:08:10.451        4.934           1.000000
30 Nov 2020 04:09:10.451        5.245           1.000000
30 Nov 2020 04:10:10.451        5.514           1.000000
30 Nov 2020 04:11:10.451        5.765           1.000000
30 Nov 2020 04:12:10.451        5.996           1.000000
30 Nov 2020 04:13:10.451        6.188           1.000000
30 Nov 2020 04:14:10.451        6.361           1.000000
30 Nov 2020 04:15:10.451        6.508           1.000000
30 Nov 2020 04:16:10.451        6.613           1.000000
30 Nov 2020 04:17:10.451        6.698           1.000000
30 Nov 2020 04:18:10.451        6.740           1.000000
30 Nov 2020 04:19:10.451        6.765           1.000000
