                                     2 Nov 2020 17:31:13
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
25 Nov 2020 20:52:15.993        8.629           1.000000
25 Nov 2020 20:53:15.993        8.324           1.000000
25 Nov 2020 20:54:15.993        7.948           1.000000
25 Nov 2020 20:55:15.993        7.504           1.000000
25 Nov 2020 20:56:15.993        7.107           1.000000
25 Nov 2020 20:57:15.993        7.497           1.000000
25 Nov 2020 20:58:15.993        7.862           1.000000
25 Nov 2020 20:59:15.993        8.141           1.000000
25 Nov 2020 21:00:15.993        8.394           1.000000
25 Nov 2020 21:01:15.993        8.659           1.000000
25 Nov 2020 21:02:15.993        0.000           0.000000
25 Nov 2020 21:03:15.993        0.000           0.000000
25 Nov 2020 21:04:15.993        0.000           0.000000
25 Nov 2020 21:05:15.993        0.000           0.000000
25 Nov 2020 21:06:15.993        0.000           0.000000
25 Nov 2020 21:07:15.993        0.000           0.000000
25 Nov 2020 21:08:15.993        0.000           0.000000
25 Nov 2020 21:09:15.993        0.000           0.000000
25 Nov 2020 21:10:15.993        0.000           0.000000
25 Nov 2020 21:11:15.993        0.000           0.000000
25 Nov 2020 21:12:15.993        0.000           0.000000
25 Nov 2020 21:13:15.993        0.000           0.000000
25 Nov 2020 21:14:15.993        0.000           0.000000
25 Nov 2020 21:15:15.993        0.000           0.000000
25 Nov 2020 21:16:15.993        0.000           0.000000
25 Nov 2020 21:17:15.993        0.000           0.000000
25 Nov 2020 21:18:15.993        0.000           0.000000
25 Nov 2020 21:19:15.993        0.000           0.000000
25 Nov 2020 21:20:15.993        0.000           0.000000
25 Nov 2020 21:21:15.993        0.000           0.000000
25 Nov 2020 21:22:15.993        0.000           0.000000
25 Nov 2020 21:23:15.993        0.000           0.000000
25 Nov 2020 21:24:15.993        0.000           0.000000
25 Nov 2020 21:25:15.993        0.000           0.000000
25 Nov 2020 21:26:15.993        0.000           0.000000
25 Nov 2020 21:27:15.993        0.000           0.000000
25 Nov 2020 21:28:15.993        0.000           0.000000
25 Nov 2020 21:29:15.993        0.000           0.000000
25 Nov 2020 21:30:15.993        0.000           0.000000
25 Nov 2020 21:31:15.993        0.000           0.000000
25 Nov 2020 21:32:15.993        0.000           0.000000
25 Nov 2020 21:33:15.993        0.000           0.000000
25 Nov 2020 21:34:15.993        0.000           0.000000
25 Nov 2020 21:35:15.993        0.000           0.000000
25 Nov 2020 21:36:15.993        0.000           0.000000
25 Nov 2020 21:37:15.993        0.000           0.000000
25 Nov 2020 21:38:15.993        1.873           1.000000
25 Nov 2020 21:39:15.993        1.541           1.000000
25 Nov 2020 21:40:15.993        1.162           1.000000
25 Nov 2020 21:41:15.993        0.770           1.000000
25 Nov 2020 21:42:15.993        0.357           1.000000
25 Nov 2020 21:43:15.993        0.406           1.000000
25 Nov 2020 21:44:15.993        0.919           1.000000
25 Nov 2020 21:45:15.993        1.374           1.000000
25 Nov 2020 21:46:15.993        1.795           1.000000
25 Nov 2020 21:47:15.993        2.225           1.000000
25 Nov 2020 21:48:15.993        2.679           1.000000
25 Nov 2020 21:49:15.993        3.131           1.000000
25 Nov 2020 21:50:15.993        3.560           1.000000
25 Nov 2020 21:51:15.993        3.932           1.000000
25 Nov 2020 21:52:15.993        4.300           1.000000
25 Nov 2020 21:53:15.993        4.717           1.000000
25 Nov 2020 21:54:15.993        4.967           1.000000
25 Nov 2020 21:55:15.993        5.397           1.000000
25 Nov 2020 21:56:15.993        5.646           1.000000
25 Nov 2020 21:57:15.993        5.955           1.000000
25 Nov 2020 21:58:15.993        6.119           1.000000
25 Nov 2020 21:59:15.993        6.432           1.000000
25 Nov 2020 22:00:15.993        6.570           1.000000
25 Nov 2020 22:01:15.993        6.783           1.000000
25 Nov 2020 22:02:15.993        6.905           1.000000
25 Nov 2020 22:03:15.993        6.926           1.000000
25 Nov 2020 22:04:15.993        7.030           1.000000
25 Nov 2020 22:05:15.993        7.142           1.000000
25 Nov 2020 22:06:15.993        7.190           1.000000
25 Nov 2020 22:07:15.993        7.664           1.000000
