                                    25 Oct 2020 16:35:35
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
26 Nov 2020 21:44:35.579        7.163           1.000000
26 Nov 2020 21:45:35.579        7.535           1.000000
26 Nov 2020 21:46:35.579        7.871           1.000000
26 Nov 2020 21:47:35.579        8.169           1.000000
26 Nov 2020 21:48:35.579        8.435           1.000000
26 Nov 2020 21:49:35.579        0.000           0.000000
26 Nov 2020 21:50:35.579        0.000           0.000000
26 Nov 2020 21:51:35.579        0.000           0.000000
26 Nov 2020 21:52:35.579        0.000           0.000000
26 Nov 2020 21:53:35.579        0.000           0.000000
26 Nov 2020 21:54:35.579        0.000           0.000000
26 Nov 2020 21:55:35.579        0.000           0.000000
26 Nov 2020 21:56:35.579        0.000           0.000000
26 Nov 2020 21:57:35.579        0.000           0.000000
26 Nov 2020 21:58:35.579        0.000           0.000000
26 Nov 2020 21:59:35.579        0.000           0.000000
26 Nov 2020 22:00:35.579        0.000           0.000000
26 Nov 2020 22:01:35.579        0.000           0.000000
26 Nov 2020 22:02:35.579        0.000           0.000000
26 Nov 2020 22:03:35.579        0.000           0.000000
26 Nov 2020 22:04:35.579        0.000           0.000000
26 Nov 2020 22:05:35.579        0.000           0.000000
26 Nov 2020 22:06:35.579        0.000           0.000000
26 Nov 2020 22:07:35.579        0.000           0.000000
26 Nov 2020 22:08:35.579        0.000           0.000000
26 Nov 2020 22:09:35.579        0.000           0.000000
26 Nov 2020 22:10:35.579        0.000           0.000000
26 Nov 2020 22:11:35.579        0.000           0.000000
26 Nov 2020 22:12:35.579        0.000           0.000000
26 Nov 2020 22:13:35.579        0.000           0.000000
26 Nov 2020 22:14:35.579        0.000           0.000000
26 Nov 2020 22:15:35.579        0.000           0.000000
26 Nov 2020 22:16:35.579        0.000           0.000000
26 Nov 2020 22:17:35.579        0.000           0.000000
26 Nov 2020 22:18:35.579        0.000           0.000000
26 Nov 2020 22:19:35.579        0.000           0.000000
26 Nov 2020 22:20:35.579        0.000           0.000000
26 Nov 2020 22:21:35.579        0.000           0.000000
26 Nov 2020 22:22:35.579        0.000           0.000000
26 Nov 2020 22:23:35.579        0.000           0.000000
26 Nov 2020 22:24:35.579        0.000           0.000000
26 Nov 2020 22:25:35.579        2.018           1.000000
26 Nov 2020 22:26:35.579        1.634           1.000000
26 Nov 2020 22:27:35.579        1.245           1.000000
26 Nov 2020 22:28:35.579        0.851           1.000000
26 Nov 2020 22:29:35.579        0.449           1.000000
26 Nov 2020 22:30:35.579        0.045           1.000000
26 Nov 2020 22:31:35.579        0.492           1.000000
26 Nov 2020 22:32:35.579        0.959           1.000000
26 Nov 2020 22:33:35.579        1.422           1.000000
26 Nov 2020 22:34:35.579        1.874           1.000000
26 Nov 2020 22:35:35.579        2.315           1.000000
26 Nov 2020 22:36:35.579        2.742           1.000000
26 Nov 2020 22:37:35.579        3.157           1.000000
26 Nov 2020 22:38:35.579        3.559           1.000000
26 Nov 2020 22:39:35.579        3.960           1.000000
26 Nov 2020 22:40:35.579        4.348           1.000000
26 Nov 2020 22:41:35.579        4.719           1.000000
26 Nov 2020 22:42:35.579        5.062           1.000000
26 Nov 2020 22:43:35.579        5.374           1.000000
26 Nov 2020 22:44:35.579        5.658           1.000000
26 Nov 2020 22:45:35.579        5.925           1.000000
26 Nov 2020 22:46:35.579        6.166           1.000000
26 Nov 2020 22:47:35.579        6.373           1.000000
26 Nov 2020 22:48:35.579        6.552           1.000000
26 Nov 2020 22:49:35.579        6.700           1.000000
26 Nov 2020 22:50:35.579        6.821           1.000000
26 Nov 2020 22:51:35.579        6.913           1.000000
26 Nov 2020 22:52:35.579        6.967           1.000000
26 Nov 2020 22:53:35.579        6.992           1.000000
26 Nov 2020 22:54:35.579        7.312           1.000000
26 Nov 2020 22:55:35.579        7.741           1.000000
26 Nov 2020 22:56:35.579        8.138           1.000000
26 Nov 2020 22:57:35.579        8.493           1.000000
26 Nov 2020 22:58:35.579        8.800           1.000000
26 Nov 2020 22:59:35.579        9.084           1.000000
26 Nov 2020 23:00:35.579        9.333           1.000000
26 Nov 2020 23:01:35.579        9.529           1.000000
26 Nov 2020 23:02:35.579        9.676           1.000000
26 Nov 2020 23:03:35.579        9.767           1.000000
26 Nov 2020 23:04:35.579        9.827           1.000000
26 Nov 2020 23:05:35.579        9.848           1.000000
26 Nov 2020 23:06:35.579        9.823           1.000000
26 Nov 2020 23:07:35.579        9.744           1.000000
26 Nov 2020 23:08:35.579        9.626           1.000000
26 Nov 2020 23:09:35.579        9.466           1.000000
26 Nov 2020 23:10:35.579        9.270           1.000000
26 Nov 2020 23:11:35.579        9.019           1.000000
26 Nov 2020 23:12:35.579        8.737           1.000000
26 Nov 2020 23:13:35.579        8.403           1.000000
26 Nov 2020 23:14:35.579        8.056           1.000000
26 Nov 2020 23:15:35.579        7.635           1.000000
26 Nov 2020 23:16:35.579        7.203           1.000000
26 Nov 2020 23:17:35.579        7.174           1.000000
26 Nov 2020 23:18:35.579        7.554           1.000000
26 Nov 2020 23:19:35.579        7.879           1.000000
26 Nov 2020 23:20:35.579        8.180           1.000000
26 Nov 2020 23:21:35.579        8.448           1.000000
26 Nov 2020 23:22:35.579        0.000           0.000000
26 Nov 2020 23:23:35.579        0.000           0.000000
26 Nov 2020 23:24:35.579        0.000           0.000000
26 Nov 2020 23:25:35.579        0.000           0.000000
26 Nov 2020 23:26:35.579        0.000           0.000000
26 Nov 2020 23:27:35.579        0.000           0.000000
26 Nov 2020 23:28:35.579        0.000           0.000000
26 Nov 2020 23:29:35.579        0.000           0.000000
26 Nov 2020 23:30:35.579        0.000           0.000000
26 Nov 2020 23:31:35.579        0.000           0.000000
26 Nov 2020 23:32:35.579        0.000           0.000000
26 Nov 2020 23:33:35.579        0.000           0.000000
26 Nov 2020 23:34:35.579        0.000           0.000000
