                                    2 Nov 2020 17:24:08
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

      Time (UTCG)          Power (W)    Solar Intensity
-----------------------    ---------    ---------------
8 Nov 2020 04:48:46.087        0.000           0.000000
8 Nov 2020 04:49:46.087        0.000           0.000000
8 Nov 2020 04:50:46.087        0.000           0.000000
8 Nov 2020 04:51:46.087        0.000           0.000000
8 Nov 2020 04:52:46.087        0.000           0.000000
8 Nov 2020 04:53:46.087        0.000           0.000000
8 Nov 2020 04:54:46.087        0.000           0.000000
8 Nov 2020 04:55:46.087        0.000           0.000000
8 Nov 2020 04:56:46.087        0.000           0.000000
8 Nov 2020 04:57:46.087        0.000           0.000000
8 Nov 2020 04:58:46.087        0.000           0.000000
8 Nov 2020 04:59:46.087        0.000           0.000000
8 Nov 2020 05:00:46.087        0.000           0.000000
8 Nov 2020 05:01:46.087        0.000           0.000000
8 Nov 2020 05:02:46.087        0.000           0.000000
8 Nov 2020 05:03:46.087        2.630           1.000000
8 Nov 2020 05:04:46.087        2.274           1.000000
8 Nov 2020 05:05:46.087        1.926           1.000000
8 Nov 2020 05:06:46.087        1.546           1.000000
8 Nov 2020 05:07:46.087        1.180           1.000000
8 Nov 2020 05:08:46.087        0.817           1.000000
8 Nov 2020 05:09:46.087        1.019           1.000000
8 Nov 2020 05:10:46.087        1.457           1.000000
8 Nov 2020 05:11:46.087        1.900           1.000000
8 Nov 2020 05:12:46.087        2.306           1.000000
8 Nov 2020 05:13:46.087        2.739           1.000000
8 Nov 2020 05:14:46.087        3.135           1.000000
8 Nov 2020 05:15:46.087        3.509           1.000000
8 Nov 2020 05:16:46.087        3.889           1.000000
8 Nov 2020 05:17:46.087        4.279           1.000000
8 Nov 2020 05:18:46.087        4.611           1.000000
8 Nov 2020 05:19:46.087        4.946           1.000000
8 Nov 2020 05:20:46.087        5.280           1.000000
8 Nov 2020 05:21:46.087        5.543           1.000000
8 Nov 2020 05:22:46.087        5.844           1.000000
8 Nov 2020 05:23:46.087        6.084           1.000000
8 Nov 2020 05:24:46.087        6.305           1.000000
8 Nov 2020 05:25:46.087        6.511           1.000000
8 Nov 2020 05:26:46.087        6.695           1.000000
8 Nov 2020 05:27:46.087        6.822           1.000000
8 Nov 2020 05:28:46.087        6.951           1.000000
8 Nov 2020 05:29:46.087        7.046           1.000000
8 Nov 2020 05:30:46.087        7.109           1.000000
8 Nov 2020 05:31:46.087        7.119           1.000000
8 Nov 2020 05:32:46.087        7.323           1.000000
8 Nov 2020 05:33:46.087        7.726           1.000000
8 Nov 2020 05:34:46.087        8.100           1.000000
8 Nov 2020 05:35:46.087        8.429           1.000000
8 Nov 2020 05:36:46.087        8.724           1.000000
8 Nov 2020 05:37:46.087        8.989           1.000000
8 Nov 2020 05:38:46.087        9.193           1.000000
8 Nov 2020 05:39:46.087        9.385           1.000000
8 Nov 2020 05:40:46.087        9.531           1.000000
