                                    25 Oct 2020 16:37:47
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
30 Nov 2020 01:49:56.155        0.000           0.000000
30 Nov 2020 01:50:56.155        0.000           0.000000
30 Nov 2020 01:51:56.155        0.000           0.000000
30 Nov 2020 01:52:56.155        0.000           0.000000
30 Nov 2020 01:53:56.155        0.000           0.000000
30 Nov 2020 01:54:56.155        0.000           0.000000
30 Nov 2020 01:55:56.155        0.000           0.000000
30 Nov 2020 01:56:56.155        0.000           0.000000
30 Nov 2020 01:57:56.155        0.000           0.000000
30 Nov 2020 01:58:56.155        0.000           0.000000
30 Nov 2020 01:59:56.155        0.000           0.000000
30 Nov 2020 02:00:56.155        0.000           0.000000
30 Nov 2020 02:01:56.155        0.000           0.000000
30 Nov 2020 02:02:56.155        0.000           0.000000
30 Nov 2020 02:03:56.155        0.000           0.000000
30 Nov 2020 02:04:56.155        0.000           0.000000
30 Nov 2020 02:05:56.155        0.000           0.000000
30 Nov 2020 02:06:56.155        0.000           0.000000
30 Nov 2020 02:07:56.155        0.000           0.000000
30 Nov 2020 02:08:56.155        0.000           0.000000
30 Nov 2020 02:09:56.155        0.000           0.000000
30 Nov 2020 02:10:56.155        0.000           0.000000
30 Nov 2020 02:11:56.155        0.000           0.000000
30 Nov 2020 02:12:56.155        0.000           0.000000
30 Nov 2020 02:13:56.155        0.000           0.000000
30 Nov 2020 02:14:56.155        0.000           0.000000
30 Nov 2020 02:15:56.155        0.000           0.000000
30 Nov 2020 02:16:56.155        0.000           0.000000
30 Nov 2020 02:17:56.155        0.000           0.000000
30 Nov 2020 02:18:56.155        2.047           1.000000
30 Nov 2020 02:19:56.155        1.678           1.000000
30 Nov 2020 02:20:56.155        1.300           1.000000
30 Nov 2020 02:21:56.155        0.908           1.000000
30 Nov 2020 02:22:56.155        0.519           1.000000
30 Nov 2020 02:23:56.155        0.128           1.000000
30 Nov 2020 02:24:56.155        0.281           1.000000
30 Nov 2020 02:25:56.155        0.736           1.000000
30 Nov 2020 02:26:56.155        1.190           1.000000
30 Nov 2020 02:27:56.155        1.638           1.000000
30 Nov 2020 02:28:56.155        2.080           1.000000
30 Nov 2020 02:29:56.155        2.510           1.000000
30 Nov 2020 02:30:56.155        2.929           1.000000
30 Nov 2020 02:31:56.155        3.333           1.000000
30 Nov 2020 02:32:56.155        3.725           1.000000
30 Nov 2020 02:33:56.155        4.098           1.000000
30 Nov 2020 02:34:56.155        4.453           1.000000
30 Nov 2020 02:35:56.155        4.788           1.000000
30 Nov 2020 02:36:56.155        5.103           1.000000
30 Nov 2020 02:37:56.155        5.391           1.000000
30 Nov 2020 02:38:56.155        5.658           1.000000
30 Nov 2020 02:39:56.155        5.897           1.000000
30 Nov 2020 02:40:56.155        6.111           1.000000
30 Nov 2020 02:41:56.155        6.293           1.000000
30 Nov 2020 02:42:56.155        6.451           1.000000
30 Nov 2020 02:43:56.155        6.575           1.000000
30 Nov 2020 02:44:56.155        6.673           1.000000
30 Nov 2020 02:45:56.155        6.735           1.000000
30 Nov 2020 02:46:56.155        6.772           1.000000
30 Nov 2020 02:47:56.155        6.938           1.000000
30 Nov 2020 02:48:56.155        7.366           1.000000
30 Nov 2020 02:49:56.155        7.767           1.000000
30 Nov 2020 02:50:56.155        8.119           1.000000
30 Nov 2020 02:51:56.155        8.434           1.000000
30 Nov 2020 02:52:56.155        8.730           1.000000
30 Nov 2020 02:53:56.155        8.980           1.000000
30 Nov 2020 02:54:56.155        9.176           1.000000
30 Nov 2020 02:55:56.155        9.352           1.000000
30 Nov 2020 02:56:56.155        9.455           1.000000
30 Nov 2020 02:57:56.155        9.536           1.000000
30 Nov 2020 02:58:56.155        9.564           1.000000
30 Nov 2020 02:59:56.155        9.550           1.000000
30 Nov 2020 03:00:56.155        9.496           1.000000
30 Nov 2020 03:01:56.155        9.391           1.000000
30 Nov 2020 03:02:56.155        9.245           1.000000
30 Nov 2020 03:03:56.155        9.058           1.000000
30 Nov 2020 03:04:56.155        8.840           1.000000
30 Nov 2020 03:05:56.155        8.563           1.000000
30 Nov 2020 03:06:56.155        8.258           1.000000
30 Nov 2020 03:07:56.155        7.909           1.000000
30 Nov 2020 03:08:56.155        7.533           1.000000
30 Nov 2020 03:09:56.155        7.121           1.000000
